issu,act,ctxt,key,summ,area,date
Constitutional development,,Council Question,34698,"Hon Martin LEE raised a question on ""Interpretation of the Basic Law and decision on issues relating to the methods for selecting the Chief Executive in 2007 and for forming the Legislative Council in 2008 by the Standing Committee of the National People's Congress"" at the Council meeting. [<a href=""http://www.legco.gov.hk/yr03-04/english/counmtg/hansard/cm0602ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 74""]",Constitutional Affairs,2.6.04
Constitutional development,,Council Question,34699,"Hon SZETO Wah raised a question on ""The report submitted by the Chief Executive to the Standing Committee of the National People's Congress"" at the Council meeting. [<a href=""http://www.legco.gov.hk/yr03-04/english/counmtg/hansard/cm0609ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 58""] 
<br /><br />Hon Audrey EU raised a written question on ""Registered voters of the functional constituencies"" at the Council meeting. [<a href=""http://www.legco.gov.hk/yr03-04/english/counmtg/hansard/cm0609ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 64""]",Constitutional Affairs,9.6.04
Constitutional development,,Council Motion,34700,"Hon LEE Cheuk-yan moved a motion on ""Demonstrating the people's power on 1 July"" for debate in the Council.  The motion was negatived. [<a href=""http://www.legco.gov.hk/yr03-04/english/counmtg/hansard/cm0609ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 127""]",Constitutional Affairs,9.6.04
Constitutional development,,Press Release,34701,"The Task Force commissioned the Central Policy Unit to hold two Seminars on Constitutional Development on 24.5.04 and 11.6.04 respectively. [<a href=""http://www.info.gov.hk/gia/general/200405/22/0521262.htm"" target=""_blank"">Press release</a>]",Constitutional Affairs,24.5.04 and 11.6.04
Constitutional development,,Constitutional Affairs Panel,34702,"Arising from members' concern about certain remarks made by Mr Zhu Yucheng, Director of the Institute of Hong Kong and Macao Affairs (IHKMA), at a forum on 15.5.04 2004 and as agreed at the Panel meeting on 17.5.04, the Panel Chairman wrote to invite Mr Zhu to attend a meeting of the Panel to exchange views with members on the relevant issues. [<a href=""http://www.legco.gov.hk/yr03-04/chinese/panels/ca/papers/ca0621cb2-2510-1c.pdf"" target=""_blank"">Letter</a> (Chinese version only)] 
<br /><br />The Task Force briefed the Panel on its progress of work since 17.5.04, including details of the two Seminars on Constitutional Development. [<a href=""http://www.legco.gov.hk/yr03-04/english/panels/ca/papers/ca0621cb2-2857-2e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,21.6.04
Constitutional development,,Constitutional Affairs Panel,34703,"IHKMA had replied that Mr Zhu Yucheng would not attend a meeting of the Panel.  Excerpts from two publications, i.e. ""The Downing Street Years"" and ""鄧小平文選"" were attached to IHKMA's letter dated 25.6.04 for members' reference. 
[<a href=""http://www.legco.gov.hk/yr03-04/chinese/panels/ca/papers/ca0517cb2-3074-1c-scan.pdf"" target=""_blank"">IHKMA's Letter</a> (Chinese version only)] 
[<a href=""http://www.legco.gov.hk/yr03-04/chinese/panels/ca/papers/ca0517cb2-3074-2c.pdf"" target=""_blank"">CA Panel Chairman's letter</a> (Chinese version only)]",Constitutional Affairs,25.6.04 and 12.7.04
Constitutional development,,House Committee,34704,"The issue of constitutional development in Hong Kong was discussed under the topic ""The business sector's involvement in political development and policy-making"" at the special meeting of HC attended by CS. 
[<a href=""http://www.legco.gov.hk/yr03-04/english/hc/papers/shc0702cb2-2979_03_e.pdf"" target=""_blank"">Paper</a>] [<a href=""http://www.legco.gov.hk/yr03-04/english/hc/minutes/hc040702.pdf"" target=""_blank"">Minutes</a> ""page 7""]",Constitutional Affairs,2.7.04
Constitutional development,,Not Applicable,34705,"Six Focus Group Discussions on Constitutional Development were organized by the Task Force on 25 June, 23, 26, 30 July, 11 and 23 August 2004 respectively.  In addition, four Regional Forums on Constitutional Development were organized on 14, 19, 21 and 28 July 2004 respectively.",Constitutional Affairs,6/04 to 8/04
Constitutional development,,Press Release,34706,"The Task Force decided that the consultation period for the Third Report would be extended from 31.8.04 to 30.9.04. [<a href=""http://www.info.gov.hk/gia/general/200408/11/0811187.htm"" target=""_blank"">Press release</a>]",Constitutional Affairs,11.8.04
Constitutional development,,Press Release,34707,"The Task Force decided that the consultation period for the Third Report would be further extended to 15.10.04. [<a href=""http://www.info.gov.hk/gia/general/200409/28/0928155.htm"" target=""_blank"">Press release</a>]",Constitutional Affairs,28.9.04
Constitutional development,,Constitutional Affairs Panel,34708,"The Task Force briefed the Panel on the work progress of the consultation on the Third Report of the Task Force. [<a href=""http://www.legco.gov.hk/yr04-05/english/panels/ca/papers/ca1018cb2-51-1e.pdf"" target=""_blank"">Paper</a>] [<a href=""http://www.legco.gov.hk/yr04-05/english/panels/ca/papers/ca1018cb2-57-1e-scan.pdf"" target=""_blank"">Summaries of 12 discussion sessions held on the Third Report of the Task Force between May and August 2004</a>] [<a href=""http://www.legco.gov.hk/yr04-05/english/panels/ca/papers/ca1018cb2-49-2e.pdf"" target=""_blank"">Background brief prepared by the Secretariat</a>] 
<br /><br />Dr Hon Fernando CHEUNG proposed a motion on referendum at the Panel meeting.  The Panel agreed to adjourn the discussion on the motion.",Constitutional Affairs,18.10.04
Constitutional development,,Council Question,34709,"Dr Hon YEUNG Sum raised a question on ""Constitutional development"". Dr Hon YEUNG Sum raised a question on ""Constitutional development"". [<a href=""http://www.legco.gov.hk/yr04-05/english/counmtg/hansard/cm1110ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 14""]",Constitutional Affairs,10.11.04
Constitutional development,,Council Motion,34710,"Hon Ronny TONG moved a motion on ""Constitutional reform"" for debate in the Council.  The motion was negatived. [<a href=""http://www.legco.gov.hk/yr04-05/english/counmtg/hansard/cm1110ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 131""]",Constitutional Affairs,10.11.04
Constitutional development,,Constitutional Affairs Panel,34711,"The motion on referendum proposed by Dr Hon Fernando CHEUNG was debated by the Panel.  The Panel agreed to defer a decision on the motion. [<a href=""http://www.legco.gov.hk/yr04-05/chinese/panels/ca/papers/ca1115cb2-137-1c%26e.pdf"" target=""_blank"">Wording of Dr CHEUNG's motion</a>]",Constitutional Affairs,15.11.04
Constitutional development,,Constitutional Affairs Panel,34712,The motion on referendum proposed by Dr Hon Fernando CHEUNG was negatived by the Panel.,Constitutional Affairs,29.11.04
Constitutional development,,Council Meeting,34713,"CS made a statement in Council on the Fourth Report of the Task Force which was published.  The consultation on the Fourth Report would end on 31.3.05. 
[<a href=""http://www.legco.gov.hk/yr04-05/english/counmtg/hansard/cm1215ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 75""] 
[<a href=""http://www.info.gov.hk/gia/general/200412/15/1215234.htm"" target=""_blank"">CS's speech</a>] 
[<a href=""http://www.info.gov.hk/gia/general/200412/15/1215330.htm"" target=""_blank"">Transcript of question and answer session of a press conference given by the Task Force</a>]",Constitutional Affairs,15.12.04
