issu,act,ctxt,key,summ,area,date
Electoral matters,,Council Question,34872,"Hon Eric LI raised a question on ""Advance polling arrangements for LegCo general election"". [<a href=""http://www.legco.gov.hk/yr00-01/english/counmtg/hansard/010509fe.pdf"" target=""_blank"">Hansard</a> ""page 62""]",Constitutional Affairs,9.5.01
Electoral matters,,Constitutional Affairs Panel,34873,"The Panel discussed the major findings and recommendations of the EAC Report on the LegCo by-election held on 10 December 2000. [<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/b1763e03.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,12.6.01
Electoral matters,,Constitutional Affairs Panel,34874,"The Panel discussed a paper entitled ""Election expense limit for the CE election"". [<a href=""http://www.legco.gov.hk/yr01-02/english/panels/ca/papers/ca1030cb2-177-1e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,30.10.01
Electoral matters,,Constitutional Affairs Panel,34875,"The Panel discussed the Administration's paper entitled ""Development of a new electoral and registration system"".  [<a href=""http://www.legco.gov.hk/yr01-02/english/panels/ca/papers/ca1217cb2-675-2e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,17.12.01
Electoral matters,,Finance Committee,34876,"FC approved a new commitment of $62.50 million for the development of a new EARS.  [<a href=""http://www.legco.gov.hk/yr01-02/english/fc/fc/papers/f01-55e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,11.1.02
Electoral matters,,Constitutional Affairs Panel,34877,"The Panel discussed the major findings and recommendations of the EAC Report on the LegCo by-election held on 16 November 2001. [<a href=""http://www.legco.gov.hk/yr01-02/english/panels/ca/papers/ca0218cb2-1081-5e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,18.2.02
Electoral matters,,Constitutional Affairs Panel,34878,"The Panel discussed the findings of the Hong Kong 2001 Population Census relating to the 18 DC districts. [<a href=""http://www.legco.gov.hk/yr01-02/english/panels/ca/papers/ca0318cb2-1344-2e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,18.3.02
Electoral matters,,Council Question,34879,"Hon CHEUNG Man-kwong raised a question on ""Expenses of CE election"". [<a href=""http://www.legco.gov.hk/yr01-02/english/counmtg/hansard/cm0410ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 33""]",Constitutional Affairs,10.4.02
Electoral matters,,Constitutional Affairs Panel and Home Affairs Panel,34880,"The Panel held two joint meetings with the Panel on Home Affairs to discuss the Administration's proposal on the composition of the second term DC. [<a href=""http://www.legco.gov.hk/yr01-02/english/panels/ca/papers/caha0604cb2-2086-1e.pdf"" target=""_blank"">Paper 1</a>]
[<a href=""http://www.legco.gov.hk/yr01-02/english/panels/ca/papers/caha0927cb2-2842-1e.pdf"" target=""_blank"">Paper 2</a>]",Constitutional Affairs,4.6.02
Electoral matters,,Council Question,34881,"Hon Emily LAU raised a question on ""Arrangements for LegCo functional constituencies elections"". [<a href=""http://www.legco.gov.hk/yr02-03/english/counmtg/hansard/cm1113ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 51""]",Constitutional Affairs,13.11.02
Electoral matters,,Constitutional Affairs Panel,34882,"The Panel discussed the electoral arrangements for the 2004 LegCo election. [<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca1216cb2-661-6e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,10.12.02
Electoral matters,,Council Question,34883,"Hon TANG Siu-tong raised a question on ""Delineation of village constituency boundaries for village representative elections"". [<a href=""http://www.legco.gov.hk/yr02-03/english/counmtg/hansard/cm1211ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 64""]",Constitutional Affairs,11.12.02
Electoral matters,,Constitutional Affairs Panel,34884,"The Panel discussed the electoral arrangements for the 2003 DC election. [<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca1216cb2-652-1e.pdf"" target=""_blank"">Paper</a>]
<br /><br />The Panel discussed the electoral arrangements for the 2004 LegCo election. [<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca1216cb2-661-6e.pdf"" target=""_blank"">Paper 1</a>]
[<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca1216cb2-660-1e.pdf"" target=""_blank"">Paper 2</a>]
[<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca1216cb2-684-1e.pdf"" target=""_blank"">Paper 3</a>]
[<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca0120cb2-931-3e.pdf"" target=""_blank"">Paper 4</a>]
[<a href=""http://www.legco.gov.hk/yr02-03/english/sec/library/0203in09e.pdf"" target=""_blank"">Information Note</a>]
[<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca0120cb2-931-4ce-scan.pdf"" target=""_blank"">Paper 5</a>]
[<a href=""http://www.legco.gov.hk/yr02-03/english/sec/library/0203fs05e.pdf"" target=""_blank"">Fact sheet</a>]",Constitutional Affairs,20.1.03
Electoral matters,,Constitutional Affairs Panel,34885,"The Panel discussed the electoral arrangements for the 2004 LegCo election. [<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca0217cb2-1180-1e.pdf"" target=""_blank"">Paper 1</a>]
[<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca0217cb2-1181-6e.pdf"" target=""_blank""> Paper 2</a>]
[<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca0217cb2-1180-2e.pdf"" target=""_blank"">Paper 3</a>]",Constitutional Affairs,17.2.03
Electoral matters,,Constitutional Affairs Panel,34886,"The Panel discussed a paper entitled ""Automatic voter registration"". [<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca0217cb2-1180-2e.pdf"" target=""_blank"">Paper</a>]
<br /><br />The Panel discussed the financial provision for the 2003 DC election. [<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca0317cb2-1480-4e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,17.3.03
Electoral matters,,Constitutional Affairs Panel,34887,"The Panel discussed the electoral arrangements for the 2003 DC election. [<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca0424cb2-1823-1e.pdf"" target=""_blank"">Paper 1</a>]
[<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca0424cb2-1823-2e.pdf"" target=""_blank"">Paper 2</a>]
<br /><br />The Panel discussed the printing of names, emblems and photographs on ballot papers for the 2004 LegCo election. [<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca0424cb2-1831-1e.pdf"" target=""_blank""> Paper 1</a>]
[<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca0424cb2-1831-2e.pdf"" target=""_blank"">Paper 2</a>]
<br /><br />The Panel discussed the requirements on the number of subscribers for the LegCo and DC elections. [<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca0424cb2-1832-2e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,24.4.03
Electoral matters,,Constitutional Affairs Panel,34888,"The Panel discussed the voter registration campaign for the 2003 DC election. [<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca0519cb2-2088-3e.pdf"" target=""_blank"">Paper 1</a>]
[<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca0519cb2-2672-1e.pdf"" target=""_blank"">Paper 2</a>]",Constitutional Affairs,19.5.03
Electoral matters,,Constitutional Affairs Panel,34889,"The Panel discussed the publicity campaign for the 2003 DC election. [<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca0721cb2-2864-1e.pdf"" target=""_blank"">Paper</a>]
<br /><br />The Panel discussed the provisional recommendations on delineation of geographical constituencies (GCs) in respect of the 2004 LegCo election. [<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca0721cb2-2841e-scan.pdf"" target=""_blank"">Paper 1</a>]
[<a href=""http://www.legco.gov.hk/yr02-03/chinese/panels/ca/papers/ca0721cb2-2871-1c.pdf"" target=""_blank"">Paper 2</a>] (Chinese version only)",Constitutional Affairs,21.7.03
Electoral matters,,Council Question,34890,"Hon Emily LAU raised a question on ""Polling hours for elections"". [<a href=""http://www.legco.gov.hk/yr03-04/english/counmtg/hansard/cm1015ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 88""]",Constitutional Affairs,15.10.03
Electoral matters,,Constitutional Affairs Panel,34891,"The Panel discussed a paper entitled ""Printing of name, emblem and photograph on ballot paper (LegCo) Regulation"". [<a href=""http://www.legco.gov.hk/yr03-04/english/panels/ca/papers/ca1020cb2-119e01.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,20.10.03
Electoral matters,,Constitutional Affairs Panel,34892,"The Panel discussed a paper entitled ""EAC (Financial Assistance for Legislative Council Elections) (Application and Payment Procedures) Regulation"". [<a href=""http://www.legco.gov.hk/yr03-04/english/panels/ca/papers/ca1117cb2-331-9e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,17.11.03
Electoral matters,,Council Question,34893,"Hon Emily LAU raised a question on ""Arrangements to facilitate electors' voting"". [<a href=""http://www.legco.gov.hk/yr03-04/english/counmtg/hansard/cm1126ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 121""]",Constitutional Affairs,26.11.03
