issu,act,ctxt,key,summ,area,date
System of accountability for principal officials,,Council Motion,35145,"The Secretary for Constitutional Affairs moved a motion ""That this Council supports the accountability system for principal officials"" for debate. The motion was passed. [<a href=""http://www.legco.gov.hk/yr01-02/english/counmtg/hansard/cm0529ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 82""]",Constitutional Affairs,29.5.02
System of accountability for principal officials,,Establishment Subcommittee,35146,"The Establishment Subcommittee (ESC) endorsed the proposed creation of 14 non-civil service principal official positions under the accountability system, offset by deletion of three civil service directorate posts of CS, FS and SJ; and creation of one non-civil service position of Director of Chief Executive's Office (DCEO), offset by deletion of the civil service post of Information Coordinator with effect from 1 July 2002 to facilitate implementation of the accountability system for principal officials. [<a href=""http://www.legco.gov.hk/yr01-02/english/fc/esc/papers/e02-02e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,6.6.02
System of accountability for principal officials,,Finance Committee,35147,"The Finance Committee (FC) approved the Administration's staffing proposal endorsed by ESC on 6.6.02. [<a href=""http://www.legco.gov.hk/yr01-02/english/fc/fc/papers/f02-20e.pdf"" target=""_blank"">Paper</a>]
<br /><br />FC also approved the provision of funds for the remuneration of those principal officials under the accountability system and to effect other necessary changes to the 2002-03 Estimates of Expenditure upon implementation of the accountability system. [<a href=""http://www.legco.gov.hk/yr01-02/english/fc/fc/papers/f02-21e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,14.6.02
System of accountability for principal officials,,Constitutional Affairs Panel,35148,"CA Panel discussed the Code for Principal Officials under the Accountability System published in the Gazette on 28 June 2002. [<a href=""http://www.legco.gov.hk/yr01-02/english/hc/sub_com/hs51/papers/hs51cb2-2462-1e-scan.pdf"" target=""_blank"">Paper</a>] , and the circular setting out the working relationship between principal officials and civil servants under the accountability system.[<a href=""http://www.legco.gov.hk/yr01-02/english/hc/sub_com/hs51/papers/hs51cb-2467-e1.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,9.7.02
System of accountability for principal officials,,Council Question,35149,"Hon Albert CHAN raised a written question on ""Contents of employment contracts signed with and declarations of interests made by principal officials under the accountability system"". [<a href=""http://www.legco.gov.hk/yr01-02/english/counmtg/hansard/cm0710ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 106""]",Constitutional Affairs,10.7.02
System of accountability for principal officials,,Information Technology and Broadcasting Panel,35150,"Information Technology and Broadcasting (ITB Panel) discussed issues relating to prevention of conflict of interest of the Secretary for Commerce, Industry and Technology.",Constitutional Affairs,17.9.02
System of accountability for principal officials,,Constitutional Affairs Panel,35151,"CA Panel discussed the Information Note on ""Selected Issues Relation to Declaration of Interests and Avoidance of Conflicts of Interests by Senior Members of Government"" prepared by the LegCo Secretariat. [<a href=""http://www.legco.gov.hk/yr01-02/english/sec/library/0102in35e.pdf"" target=""_blank"">Paper</a>] 
<br /><br />The LegCo Secretariat prepared a background brief entitled ""Accountability System for Principal Officials and Related Issues - Declaration and Handling of Investments/Interests"" to update members on the developments subsequent to the special CA Panel meeting held on 9.7.02. [<a href=""http://www.legco.gov.hk/yr01-02/english/panels/ca/papers/ca1007cb2-2868-1e.pdf"" target=""_blank"">Paper</a>]
<br /><br />CA Panel discussed the Administration's paper on ""Declaration of interests by CE, members of the Executive Council and principal officials under the accountability system"". [<a href=""http://www.legco.gov.hk/yr01-02/english/panels/ca/papers/ca1007cb2-2868-2e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,7.10.02
System of accountability for principal officials,,Council Question,35152,"Hon CHEUNG Man-kwong raised an oral question on ""Compliance with Code for Principal Officials under the Accountability System"" <a href=""http://www.legco.gov.hk/yr02-03/english/counmtg/hansard/cm1023ti-translate-e.pdf"" target=""_blank"">Hansard</a> ""page 27""]",Constitutional Affairs,23.10.02
System of accountability for principal officials,,Constitutional Affairs Panel,35153,"CA Panel discussed the assessment of responsibilities of principal officials under the accountability system, as a result of a referral from the Panel on Financial Affairs after its discussion on the Report of Panel on Inquiry on Penny Stocks Incident. [<a href=""http://www.legco.gov.hk/yr02-03/english/panels/ca/papers/ca1021cb2-114-2e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,18.11.02
System of accountability for principal officials,,Education Panel,35154,Education Panel discussed issues relating to prevention of conflict of interest of the Secretary for Education and Manpower.,Constitutional Affairs,18.11.02
System of accountability for principal officials,,Establishment Subcommittee,35155,"ESC endorsed the proposals to -
<table>
<tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">reorganize the former Housing Bureau and the Housing Department [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/e02-7e.pdf"" target=""_blank"">Paper</a>]; and
</td></tr><tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">merge the Education and Manpower Bureau and the Education Department into a new Education and Manpower Bureau with effect from 1.1.03 to strengthen the link between the formulation and implementation of education policies following the implementation of the accountability system. [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/e02-6e.pdf"" target=""_blank"">Paper</a>] [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/esc/papers/esc18(02-03)e-scan.pdf"" target=""_blank"">Follow-up paper</a>]
</td></tr></table>",Constitutional Affairs,20.11.02
System of accountability for principal officials,,Finance Committee,35156,"FC approved the Administration's proposal endorsed by ESC on 20.11.02. [<a href=""http://www.legco.gov.hk/yr02-03/english/fc/fc/papers/f02-42e.pdf"" target=""_blank"">Paper</a>]",Constitutional Affairs,6.12.02
